blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,flat_type_1 ROOM,flat_type_2 ROOM,flat_type_3 ROOM,flat_type_4 ROOM,flat_type_5 ROOM,flat_type_EXECUTIVE,flat_type_MULTI-GENERATION,address,latitude,longitude,postal_code,geohash
433,CLEMENTI AVE 3,13,1978,CL,0,0,101,22,1,4,0,433 CLEMENTI AVE 3,1.3140162229847,103.761827364842,120433,w21z3pjn9y6h
433,HOUGANG AVE 8,13,1988,HG,0,0,0,72,24,0,0,433 HOUGANG AVE 8,1.37614023951393,103.893823744606,530433,w21zu4t0te1u
433,JURONG WEST ST 42,12,1984,JW,0,0,12,108,0,0,0,433 JURONG WEST ST 42,1.3527798445309,103.722858578257,640433,w21z8q28tb3n
433,TAMPINES ST 43,11,1985,TAP,0,0,55,36,0,0,0,433 TAMPINES ST 43,1.35904050139779,103.951132576329,520433,w21ztrquuzw2
433,YISHUN AVE 6,12,1987,YS,0,0,0,110,0,0,0,433 YISHUN AVE 6,1.42091180649596,103.847293288083,760433,w23b54em3m4j
433A,BT BATOK WEST AVE 8,16,2022,BB,0,120,30,43,0,0,0,433A BT BATOK WEST AVE 8,1.36189800657806,103.742374936478,651433,w21z8xyvss1q
433A,NORTHSHORE DR,22,2023,PG,0,0,0,84,62,0,0,433A NORTHSHORE DR,1.41667304873336,103.910627028411,821433,w23bh9cktngr
433A,SENGKANG WEST WAY,27,2013,SK,0,0,50,73,0,0,0,433A SENGKANG WEST WAY,1.39494947298112,103.877566961287,791433,w21zgvcq4trv
433B,BT BATOK WEST AVE 8,15,2022,BB,0,112,28,42,0,0,0,433B BT BATOK WEST AVE 8,1.36154608809803,103.742064614235,652433,w21z8xyet6d4
433B,NORTHSHORE DR,22,2023,PG,0,82,28,46,0,0,0,433B NORTHSHORE DR,1.41680516005673,103.910100613216,822433,w23bh9cj2zdg
433B,SENGKANG WEST WAY,27,2013,SK,0,0,0,78,52,0,0,433B SENGKANG WEST WAY,1.39388894272879,103.877494624525,792433,w21zgv9rcp9z
433C,BT BATOK WEST AVE 8,15,2022,BB,0,0,0,42,84,0,0,433C BT BATOK WEST AVE 8,1.36106262790619,103.741523518988,653433,w21z8xy2b8qw
434,ANG MO KIO AVE 10,12,1978,AMK,0,0,82,22,1,2,0,434 ANG MO KIO AVE 10,1.3678915069194,103.85345502653,560434,w21zg1pb8cky
434,BT PANJANG RING RD,11,1988,BP,0,0,0,64,36,0,0,434 BT PANJANG RING RD,1.38545924836708,103.77050511557,670434,w21zck5quh2f
434,CHOA CHU KANG AVE 4,14,1992,CCK,0,0,0,36,50,0,0,434 CHOA CHU KANG AVE 4,1.38444682435766,103.74108952188,680434,w21zbsjbyxdf
434,CLEMENTI AVE 3,13,1978,CL,0,0,116,24,0,2,0,434 CLEMENTI AVE 3,1.31456889716041,103.761612603199,120434,w21z3pkcuv6h
434,HOUGANG AVE 8,13,1988,HG,0,0,0,84,24,0,0,434 HOUGANG AVE 8,1.37647221404827,103.893822113477,530434,w21zu4t4t908
434,JURONG WEST ST 42,4,1984,JW,0,0,16,16,0,0,0,434 JURONG WEST ST 42,1.35240453284328,103.722709652373,640434,w21z8q0w663z
434,TAMPINES ST 43,12,1985,TAP,0,0,66,44,0,0,0,434 TAMPINES ST 43,1.3592418423449,103.951613078969,520434,w21ztrrq0jh9
434A,FERNVALE RD,20,2011,SK,0,0,32,73,0,0,0,434A FERNVALE RD,1.39437366578651,103.876322418463,791434,w21zgvb6vdpf
434B,FERNVALE RD,25,2011,SK,0,0,0,96,40,0,0,434B FERNVALE RD,1.39460960429021,103.876585517065,792434,w21zgvbs5yh4
435,ANG MO KIO AVE 10,12,1978,AMK,0,0,108,22,0,1,0,435 ANG MO KIO AVE 10,1.36770367834269,103.854214313011,560435,w21zg2br6w6y
435,BT PANJANG RING RD,12,1988,BP,0,0,0,132,0,0,0,435 BT PANJANG RING RD,1.38603975530039,103.770196329443,670435,w21zck74kbd9
435,CHOA CHU KANG AVE 4,12,1991,CCK,0,0,0,61,29,0,0,435 CHOA CHU KANG AVE 4,1.38513876368188,103.741050016887,680435,w21zbsjvj8td
435,CLEMENTI AVE 3,13,1978,CL,0,0,119,24,0,0,0,435 CLEMENTI AVE 3,1.31456210565181,103.76253024021,120435,w21z3pm9fhnk
435,HOUGANG AVE 8,13,1990,HG,0,0,0,120,0,0,0,435 HOUGANG AVE 8,1.37752800104625,103.89360316857,530435,w21zu4v08mv6
435,JURONG WEST ST 42,4,1983,JW,0,0,8,24,0,0,0,435 JURONG WEST ST 42,1.35211011264928,103.723687896053,640435,w21z8q1k95e6
435,TAMPINES ST 43,4,1985,TAP,0,0,0,32,0,0,0,435 TAMPINES ST 43,1.35976653454884,103.95107341998,520435,w21ztrwc5wf7
435,YISHUN AVE 6,12,1987,YS,0,0,0,110,0,0,0,435 YISHUN AVE 6,1.42133227396902,103.847281046929,760435,w23b54erc591
435A,BT BATOK WEST AVE 5,15,2018,BB,0,0,0,0,0,0,0,435A BT BATOK WEST AVE 5,1.3595712460642,103.740524419592,651435,w21z8xt816mw
435A,FERNVALE RD,21,2011,SK,0,0,0,79,38,0,0,435A FERNVALE RD,1.39339897949587,103.876290547918,791435,w21zgv8mjh2h
435A,NORTHSHORE DR,23,2024,PG,0,65,0,77,0,0,0,435A NORTHSHORE DR,1.41839759209043,103.910324106062,821435,w23bhd1ny03r
435B,BT BATOK WEST AVE 5,15,2018,BB,0,112,28,42,0,0,0,435B BT BATOK WEST AVE 5,1.35882272265832,103.740404826736,652435,w21z8xm7wwum
